Active 	BUS2017-01949	DODSON TECHNICAL SERVICES INC 	4925 E HUNTER AVE, 92807 	VIBRATION AND EQUIPMENT TEST SERVICE  
Active 	BUS2017-03949	I LATINA MULTISERVICES 	3266 W LINCOLN AVE, 92804 	MULTISERVICES (INCOME TAX PREPARATION) 
Active 	BUS2017-03950	REFLECTIONS FUNERAL SERVICES 	616 S CHAUCER ST, 92802 	ADMINISTRATIVE OFFICE USE FOR CONSULTING SERVICES FOR CREMATION & FUNERAL SERVICES 
Active 	BUS2017-03952	ESTHER BARREDO SERVICE 	13838 MAIDSTONE AVE, 28631 	CARE GIVING SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03953	ALLCONN INC 	300 S HARBOR BLVD 1018, 92805 	OFFICE USE FOR IMPORT & EXPORT OF GENERAL MERCHANDISE (NO EMPLOYEES) 
Active 	BUS2017-03954	SUNYKING CABLES INC 	300 S HARBOR BLVD 1018, 92805 	OFFICE USE FOR IMPORT & EXPORT OF GENERAL MERCHANDISE (NO EMPLOYEES) 
Active 	BUS2017-03951	JIMENEZ BROS ART & IRON WORKS INC 	1111 E WAKEHAM AVE K,  	ORNAMENTAL METALS CONTRACTOR & MANUFACTURING  
Active 	BUS2017-03955	THE LAU FAMILY TRUST 	131 S MAGNOLIA AVE, 92804 	APARTMENT BUILDING OPERATOR (24 UNITS) 
Active 	BUS2017-03956	OCTOS GLOBAL SOLUTIONS LLC 	2400 E KATELLA AVE 800, 92806 	ADMINISTRATIVE OFFICE FOR SOFTWARE AND MOBILE APP DEVELOPMENT AND WEBSITE MAINTENANCE AND DESIGN SERVICES (1 EMPLOYEE)  
Active 	BUS2017-03957	ROSA H DAMIAN 	6314 E SANTA ANA CANYON RD, 92807 	INDEPENDENT STYLIST WORKING AT SALON AVELLA STATE LIC #251715, exp. 02-28-18 
Active 	BUS2017-03958	SINO PAPER LLC  	4875 E LA PALMA AVE 601, 92807 	OFFICE USE FOR EXPORT OF WASTE PAPERS 
Active 	BUS2017-03959	DAVIS PRIVATE SECURITY 	649 E EL SEGUNDO BLVD, 33844 	EVENT SECURITY GUARD SERVICES (49 EMPLOYEES)  
Active 	BUS2017-03960	COLLEGE COMMUNITY SERVICES: PEER ME 	501 N BROOKHURST ST 208, 92801 	MENTAL HEALTH SERVICES (4 EMPLOYEES) 
Active 	BUS2017-03961	COMMERCIAL CONSTRUCTION SOLUTIONS I 	747 W TAFT, 45498 	GENERAL CONTRACTOR 
Currently Renewing 	BUS2017-03962	AMERICAN SUPERIOR PAINTING INC 	2225 W BROADWAY AVE E-302, 45631 	Painting and Decorating Contractor 
Active 	BUS2017-03963	ANAHEIM PARK 	1203-1209 N DRESDEN PL, 92801 	APARTMENT BUILDING OPERATOR (24 UNITS) 
Currently Renewing 	BUS2017-03964	PRETTY CHIC DETAILS 	2253 E BANYAN PL, 92806 	OFFICE USE ONLY FOR EVENT PLANNING 
Active 	BUS2017-03965	COURTYARD RESTAURANT AND BAR 	515 W KATELLA AVE, 92802 	COFFEE & FOOD SHOP INSIDE WYNDHAM GARDEN ANAHEIM HOTEL 
Active 	BUS2017-03966	O C L A TRANSPORTATION 	1221 N STATE COLLEGE BLVD 37, 92805 	OFFICE USE ONLY FOR NON-EMERGENCY MEDICAL TRANSPORTATION SERVICE (NO EMPLOYEES) **BOC**  
Active 	BUS2017-03967	MOVING ON 	2824 W ACADEMY AVE, 92804 	ADMINISTRATIVE OFFICE FOR DELIVERY SERVICES / MOVERS 
Active 	BUS2017-03968	LIN JACK & TERESA CHAO FIN 	3623 W BALL RD, 92804 	APARTMENT BUILDING OPERATOR (18 UNITS)  
Active 	BUS2017-03969	MA SOCORRO A HATULAN HOME SERVICES  	2728 W YALE AVE 17, 92801 	ADMINISTRATIVE OFFICE FOR IN-HOME CARE SERVICES (NO EMPLOYEES) NON-MEDICAL AND NOT STATE LICENSED 
Active 	BUS2017-03970	LOTS REPIPE AND PLUMBING SERVICES 	4060 N PALM ST 606, 45788 	Plumbing Contractor 
Active 	BUS2017-03971	AMERICAN VALET PARKING RESPONSE DET 	12001 PIKE ST, 93590 	VALET PARKING SERVICE (2 EMPLOYEES) 
Currently Renewing 	BUS2017-03972	TOOBS DISTRIBUTION LLC  	1571 S SUNKIST ST D, 92806 	WHOLESALE DISTRIBUTION OF GLASS TUBING 
Finaled 	BUS2017-03973	J AND V AUTO REPAIR 	1609 W LINCOLN AVE, 92801 	GENERAL AUTOMOTIVE REPAIR SERVICES (2 EMPLOYEES) 
Active 	BUS2017-03974	WILSON ASSOCIATES 	11262 WARMINGTON ST, 93590 	LANDSCAPE ARCHITECTURE 
Active 	BUS2017-03975	CRESCENZO ENTERPRISES 	902 N EASTERN AVE, 33844 	General Engineering Contractor 
Active 	BUS2017-03976	CUMMINS ARCHITECTURE & DESIGN 	11043 STONE RIVER DR, 48411 	ARCHITECTURAL SERVICES LIC #C14385, EXP. 3-31-19 
Active 	BUS2017-03977	DRAW ME A CHANGE 	8461 E SARATOGA ST, 92808 	OFFICE USE ONLY FOR A NONPROFIT FOUNDATION 
Active 	BUS2017-03978	A'S HEATING & AIR SERVICES INC 	148 E FRANKLIN AVE, 96266 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2017-03979	L1OPTICS INC  	5130 E LA PALMA AVE 206, 92807 	PRODUCT DEVELOPMENT SERVICES **2 EMPLOYEES** 
Active 	BUS2017-03980	EXCELLENCE PLUMBING 	1943 LONGVIEW DR, 97346 	Plumbing Contractor 
Active 	BUS2017-03981	FIRMUS ENTERPRISES INC 	780 N EUCLID ST 109, 92801 	MARKETING & CONSULTING FOR HOME LOANS (NO EMPLOYEES) 
Active 	BUS2017-03982	SBE ELECTRICAL CONTRACTING INC 	17256 RED HILL AVE, 47521 	Electrical Contractor 
Active 	BUS2017-03983	O T S MOVING 	1707 E SOUTH ST, 92805 	ADMINISTRATIVE OFFICE FOR MOVING SERVICES (NO EMPLOYEES)  
Finaled 	BUS2017-03984	BENDER READY MIX 	516 S SANTA FE, 45574 	paid for by owner builder to release sub bld2017-03106 
Active 	BUS2017-03985	ARTESANIAS AZTECA 	1440 S ANAHEIM BLVD D26, 92805 	RETAIL SALES OF CLOTHING AND SHOES 
Active 	BUS2017-03986	MIND AND BODY ONE ACUPUNCTURE 	1811 W KATELLA AVE 117, 92804 	ACUPUNCTURE TREATMENT / STATE LIC #AC7383 EXP 07/31/2019 (NO MASSAGE) (NO EMPLOYEES)  
Active 	BUS2017-03987	CLOVER CONTRACTING INC 	106 S 54TH ST, 28928 	General Building Contractor 
Finaled 	BUS2017-03988	TRIMENSA PHARMACEUTICALS 	5130 E LA PALMA AVE 106, 92807 	WHOLESALE DISTRIBUTION OF PERSONAL CARE PRODUCTS *GR INCLUDES BUS2017-03989* RENEWALS TO COME IN TOGETHER*  
Finaled 	BUS2017-03989	FORPLAY LUBRICANT 	5130 E LA PALMA AVE 106, 92807 	WHOLESALE DISTRIBUTION OF PERSONAL CARE PRODUCTS *GR REPORTED ON BUS2017-03988* RENEWALS TO COME IN TOGETHER*  
Currently Renewing 	BUS2017-03990	VICTORIAS HOME GOODS & SERVICES 	318 S LEMON ST 309, 92805 	OFFICE USE FOR CLEANING SERVICES (1 EMPLOYEE)  
Active 	BUS2017-03991	TODAY INVESTMENTS INC 	4720 E HUNTER AVE, 92807 	WAREHOUSE AND WHOLESALE OF FURNITURE 
Active 	BUS2017-03992	IRONCLAD GENERAL ENGINEERING INC 	3410 LA SIERRA F306 AVE, 46893 	General Engineering Contractor 
Active 	BUS2017-03993	GREEN LEAF TREE SERVICE 	1439 W CHEVY CHASE DR, 92801 	OFFFICE USE ONLY FOR OFF-SITE TREE REMOVAL TRIMMING SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03994	P M K INC 	447 AVENIDA SEVILLA B,  	CIVIL ENGINEERING CONSULTANT LIC# C51616, EXP. 6-30-18 
Active 	BUS2017-03995	HERITAGE PRODUCT GROUP INC 	5350 E HUNTER AVE, 92807 	ADMINISTRATIVE OFFICE USE FOR ON-LINE RETAIL OF TOOL STORAGE AND AUTOMOTIVE HAND TOOLS 
Currently Renewing 	BUS2017-03996	ELLA MENTARY PRODUCTS LLC 	6553 E CALLE DEL NORTE, 92807 	OFFICE USE ONLY FOR ONLINE SALES 
Active 	BUS2017-03997	EL TEPA CONSTRUCTION INC 	8815 ALDRICH ST, 36929 	General Building Contractor 
Active 	BUS2017-03998	TRIMARK RAYGAL LLC 	210 COMMERCE, 47521 	General Building Contractor 
Active 	BUS2017-03999	THAID UP 	2060 S DELLA LN, 92802 	OFFICE USE ONLY FOR FOOD SALES AT FARMERS MARKET 
Active 	BUS2017-04000	M S B INC 	30665 OLD HIGHWAY 395, 02331 	General Building Contractor 
Active 	BUS2017-04001	BARTON ELECTRIC INC 	12129 SIERRA ROJO RD, 97493 	Electrical Contractor 
Active 	BUS2017-04002	CROSS ROAST 	440 S ANAHEIM BLVD 108, 92805 	QUICK SERVE RESTAURANT 
Active 	BUS2017-04003	ESMERALDA CAMACHO 	200 N CRESCENT WAY J, 92801 	WAREHOUSE/STORAGE FOR PLUMBING EQUIPMENT (NO EMPLOYEES) 
Active 	BUS2017-04004	RICARDOS HAIR DESIGNS INC (BUTTACAV 	5564 E SANTA ANA CANYON RD, 92807 	INDEPENDENT HAIR STYLIST AT RICARDOS HAIR DESIGN LIC #KK529573 
Active 	BUS2017-04005	J V A ELECTRIC 	1119 MEADE AVE, 45788 	Electrical Contractor 
Active 	BUS2017-04006	RODENT PEST TECHNOLOGIES INC 	220 N CRESCENT WAY H, 92801 	ADMINISTRATIVE OFFICE & STORAGE FOR PEST CONTROL SERVICE (1 EMPLOYEE)  
Active 	BUS2017-04007	ANTOJITOS & MARISCOS EL CANTANTE 	2424 W BALL RD G, 92804 	MEXICAN RESTAURANT  
Active 	BUS2017-04008	SYNERGY TOOLING INC 	755 E DEBRA LN, 92805 	WHOLESALE / DISTRIBUTION OF MACHINE TOOL ACCESSORIES 
Active 	BUS2017-04009	J T S PLUMBING INC 	40880 COUNTY CENTER DR L, 96994 	Plumbing Contractor 
Active 	BUS2017-04010	O C DECKS 	16582 GOTHARD ST I, 45363 	Painting and Decorating Contractor 
Active 	BUS2017-04011	DIAMONDBACK COMPANY 	147 1/2 BROOKDALE PL, 45788 	HANDYMAN SERVICES (NO EMPLOYEES) 
Active 	BUS2017-04012	FINE HOME REPARIS 	7770 VICKERS ST 200, 95710 	HANDYMAN SERVICES (NO EMPLOYEES) 
Active 	BUS2017-04013	PERFECTION NAILS AND HAIR 	951 N EUCLID ST, 92804 	BEAUTY SHOP (8 EMPLOYEES) 
Active 	BUS2017-04014	SLUMBER N SERENITY MATTRESS INC 	1081 N KRAEMER PL F, 92806 	WAREHOUSE STORAGE FOR MATTRESS AND FURNITURE (SEE BUS 2014-03649)  
Active 	BUS2017-04015	LEGAL BOOKS DISTRIBUTING 	2740 E REGAL PARK DR, 92806 	DISTRIBUTION OF COURSE MATERIALS 
Active 	BUS2017-04016	YOGIS TERIYAKI HOUSE 	107 S BROOKHURST ST, 92804 	FAST FOOD RESTAURANT 
Active 	BUS2017-04017	ASHKON SENAATI 	401 S PASEO REAL, 92807 	OFFICE USE ONLY FOR PHYSICIAN 
Active 	BUS2017-04018	LUIS RAMOS INSURANCE AGENCY INC 	1211 S WESTERN AVE, 92804 	INSURANCE BROKER & VEHICLE REGISTRATION SERVICES (NO EMPLOYEES) 
Active 	BUS2017-04019	ELITE BEVERAGE INTERNATIONAL, INC.  	970 N TUSTIN AVE 100, 92807 	ADMINISTRATIVE OFFICE USE FOR DISTRIBUTION CENTER OF TEQUILA WINE AND BEVERAGE PRODUCTS 
Active 	BUS2017-04020	FMC COMMISSARY 	3091 E CORONADO ST, 92806 	OUTDOOR STORAGE OF PRODUCE TRUCKS (BUS2017-04027) 
Active 	BUS2017-04021	RECYCLED GRANITE OC INC 	2350 E ORANGETHORPE AVE, 92806 	WAREHOUSE, MANUFACTURING AND WHOLESALE OF TILE 
Active 	BUS2017-04023	AMERICAN EAGLE CONTRACTORS INC 	22605 LA PALMA AVE 508, 47792 	General Engineering Contractor 
Active 	BUS2017-04024	DYNAMIC ATHLETICS LLC 	1590 S SINCLAIR ST, 92806 	FITNESS TRAINING  
Finaled 	BUS2017-04025	UNKLE JERRYS CHRISTMAS TREES 	1440 S ANAHEIM BLVD, 92805 	CHRISTMAS TREE LOT (11/21/2017-12/26/2017) (SEP2017-00156) 
Active 	BUS2017-04026	SOUTH COAST AIR CONDITIONING 	6750 TOPAZ ST, 48411 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2017-04027	FMC COMMISSARY 	3091 E CORONADO ST, 92806 	COMMISSARY (BUS2017-04020) 
Active 	BUS2017-04028	O C SPORTS & REHAB 	1211 W LA PALMA AVE 602, 92801 	MEDICAL OFFICE FOR PHYSICAL THERAPY (1 EMPLOYEE) 
Active 	BUS2017-04029	NATIONAL MAINTENANCE SERVICES, LLC 	241 STANFORD PKWY, 64763 	REPAIRS & MAINTENANCE OF MHE EQUIPMENT 
Active 	BUS2017-04030	DORENA DEALS 	2053 S JUNE PL, 92802 	ONLINE RETAIL SALES OF CLOTHING, SHOES, AND OTHER ACCESSORIES OFFICE USE ONLY 
Active 	BUS2017-04031	AMERICAN CONCRETE SERVICES 	12525 HARLOW AVE, 46893 	Concrete Contractor 
Active 	BUS2017-04032	EVARO GLAZING INC 	6119 N RANGER DR, 88156 	Glazing Contractor 
Active 	BUS2017-04033	SPECIAL SERVICES TACTICAL 	3749 E ANAHEIM ST, 05496 	SECURITY SERVICES (2 EMPLOYEES) PPO 15563 EXP. 04-30-18 
Active 	BUS2017-04034	REVIVAL INVESTMENT GROUP LLC 	8181 E KAISER BLVD, 92808 	REAL ESTATE INVESTMENT *NO EMPLOYEES* 
Active 	BUS2017-04035	BALI SPA 	5759 E LA PALMA AVE, 92807 	MASSAGE ESTABLISHMENT OPERATOR (MES2017-00036) 
Active 	BUS2017-04036	BALI SPA (JIPING) 	5759 E LA PALMA AVE, 92807 	CERTIFIED MASSAGE THERAPIST - TAN, JIPING (CMTC # 71541 EXP 09/03/2018) 
Active 	BUS2017-04037	ACCREW 	1260 N HANCOCK ST 102, 92807 	BOOKKEEPING SERVICES 
Active 	BUS2017-04038	FRITZ AND CHEWY LLC 	570 S MELROSE ST,  	OFFICE USE ONLY FOR ONLINE AND OFF-SITE SALES OF SOCKS 
Active 	BUS2017-04039	ALL IN ONE ROOFING CO 	862 SKYLER WAY, 49901 	Roofing Contractor 
Active 	BUS2017-04040	ROOF'N - IT INC 	5335 MACAPA RD, 99492 	Roofing Contractor 
Active 	BUS2017-04041	PRECISION ELECTRIC GROUP CA INC 	1343 N MINOT ST, 92801 	Office use only for Electrical Contractor 
Active 	BUS2017-04042	VITAL INSPECTION SERVICES INC 	633 S SCOUT TRL, 92807 	OFFICE USE FOR INSPECTION MANAGEMENT CONSULTING SERVICES (NO EMPLOYEES)  
Active 	BUS2017-04043	ELAHORRO BLANKETS CLOTHING AND HOME 	2795 W LINCOLN AVE T, 92801 	RETAIL SALES OF CLOTHING, BLANKETS & GOODS MERCHANDISE 
Active 	BUS2017-04044	GLASS CONCEPTS INC 	5051 BROOKS ST, 46268 	Glazing Contractor 
Active 	BUS2017-04045	SKORCH FITNESS 	5100 E LA PALMA AVE 117, 92807 	PERSONAL TRAINING (1 EMPLOYEE) 
Active 	BUS2017-04046	PEAK POWER SOLUTIONS INC 	151 KALMUS DR L2, 47540 	General Building Contractor 
Active 	BUS2017-04047	DEREK DICKEYS COURIER SERVICES 	1130 S PEREGRINE PL, 92806 	ADMINISTRATIVE OFFICE FOR DELIVERY SERVICES (NO EMPLOYEES)  
Active 	BUS2017-04048	LAW OFFICES OF BRIGGS & ALEXANDER 	2390 E ORANGEWOOD AVE 530 (), 92806 	PROFESSIONAL LAW SERVICES  
Active 	BUS2017-04049	SO CAL CONSTRUCTION CO 	21381 HIGH COUNTRY DRIVE, 45896 	General Building Contractor 
Active 	BUS2017-04050	FERNANDO URZUA REINFORCING STEEL IN 	28570 TERETICORNIS CT, 42456 	Reinforcing Steel Contractor 
Active 	BUS2017-04051	VANESSA GARCIA CLEANING SERVICES 	2112 W ALAMEDA AVE 4, 92801 	OFFICE USE ONLY FOR OFF-SITE CLEANING SERVICES (NO EMPLOYEES) 
Active 	BUS2017-04052	DEBRA OREGON PLUNKETT LIVING TRUST 	204 S OHIO ST, 92805 	APARTMENT BUILDING OPERATOR 
Finaled 	BUS2017-04053	VINCENT TRAN 	13242 HAZEL ST, 45301 	DESIGN SERVICES (ONE EMPLOYEE) 
Active 	BUS2017-04054	COMPETITION ROOFING INC 	101 N LOMA PL, 49466 	ROOFING COTRACTOR 
Finaled 	BUS2017-04055	GOOD MASSAGE (MA, CINDY NGUYEN) 	508 S STATE COLLEGE BLVD, 92806 	INDEPENDENT MASSAGE THERAPIST - MA, CINDY NGUYEN (CAMTC #61129 EXP. 10/15/2018)  
Active 	BUS2017-04056	BURNHAM NATIONWIDE INC 	515 S FIGEROA ST 1275, 33844 	CONSTRUCTION CONSULTING SERVICES (1 EMPLOYEE) 
Finaled 	BUS2017-04057	NEWPORT FIXIT 	121 N STATE COLLEGE BLVD 8, 92805 	ADMINISTRATIVE OFFICE 
Finaled 	BUS2017-04058	CHARMIN SPA MASSAGE (ZHOU) 	2424 W BALL RD E, 92804 	MASSAGE TECHNICIAN: MINGYING ZHOU CAMTC: LIC #61122 EXP: 10/15/2018 
Active 	BUS2017-04059	L AND S GARAGE DOOR SERVICES 	1543 PONDEROSA, 45788 	Doors, Gates and Activating Devices 
Active 	BUS2017-04060	ASSOCIATED PROPERTY RESTORATION & I 	1560 COMMERCE ST H, 97346 	General Building Contractor 
Active 	BUS2017-04061	KIP BARRYS MAGIC CAFE 	1650 S HARBOR BLVD F, 92802 	RETAIL STORE/ CAFE MAGIC SHOP 
Active 	BUS2017-04062	ACE INSTALLATION INC 	8175 E KAISER BLVD, 92808 	OFFICE USE FOR MOBILE ELECTRONIC INSTALLATION AND FLEET PGS MANAGEMENT SERVICES (2 EMPLOYEES) 
Active 	BUS2017-04063	PONCE RECYCLING INC 	1098 N STATE COLLEGE BLVD, 92806 	RECYCLING CENTER (MIS2017-00664) 
Active 	BUS2017-04064	JACKSON HEWITT TAX SERVICE 	440 N EUCLID ST, 92801 	TAX RETURN PREPARATION SERVICE (INSIDE WALMART) (2 EMPLOYEES) 
Active 	BUS2017-04065	SOUTH WEST BUILDERS 	12517 SHERMAN WAY BLVD B, 85090 	General Building Contractor 
Active 	BUS2017-04066	PRO WALL PAINTING INC 	18500 PASADENA ST A, 42456 	Painting and Decorating Contractor 
Active 	BUS2017-04067	SPARTAN LEADERSHIP DEVELOPMENT 	160 S OLD SPRINGS RD 102, 92808 	INSURANCE OFFICE 
Currently Renewing 	BUS2017-04068	KAELLE SHOP 	187 N RIDGEWAY ST, 92801 	OFFICE USE FOR ONLINE SALES OF CLOTHING AND ACCESSORIES 
Active 	BUS2017-04069	VETERANS TECHNOLOGY GROUP 	46 FEATHER RIDGE TER, 94724 	Low Voltage Systems 
Active 	BUS2017-04070	SARK CHROME SHOP 	1161 N COSBY WAY J, 92806 	WAREHOUSE AND ONLINE SALES OF AUTO ACCESSORIES 
Active 	BUS2017-04071	HM MECHANICAL INC 	20371 PRAIRIE ST 3, 88823 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2017-04072	JENIFER ESTHETIC 	421 N BROOKHURST ST 125, 92801 	SKIN CARE AND FACIALS ***NO MASSAGE ALLOWED, NO EMPLOYEES*** 
Active 	BUS2017-04073	SAFEWAY ELECTRIC 	461 CORPORATE DR, 02331 	Electrical Contractor 
Active 	BUS2017-04075	TYREE SALON AND NAILS 	116 N TUSTIN AVE, 92807 	HAIR AND NAIL SALON OPERTOR **NO EMPLOYEES AND NO MASSAGE PERMITTED AT THIS LOCATION** 
Active 	BUS2017-04074	SCHMIDT DESIGN GROUP INC 	1111 SIXTH AVE 500, 95710 	Landscape Architecture 
Active 	BUS2017-04076	BRIGHTEN LANGUAGE CENTER 	1319 S EUCLID ST, 92802 	ENGLISH LEARNING CENTER (NO EMPLOYEES) 
Active 	BUS2017-04077	VELASQUEZ MAINTENANCE 	550 SEAGAZE DR 25, 97584 	Cleaning Services 
Active 	BUS2017-04078	TORRES SMOKE SHOP 	2664 W LINCOLN AVE, 92801 	SALES OF TOBACCO ACCESSORIES (NO SMOKING ON-SITE ALLOWED) (MARIJUANA PROHIBITED) 
Active 	BUS2017-04079	METAL SUPPLY INC 	11810 CENTER ST, 38642 	Structural Steel Contractor 
Active 	BUS2017-04080	DEVIN ORGERON REVOCABLE TRUST 	204-206 S WEST ST, 92805 	APARTMENT BUILDING OPERATOR (7 UNITS) (204 & 206 S WEST ST) 
Active 	BUS2017-04081	PRIMELENDING A PLAINSCAPITAL COMPAN 	8141 E KAISER BLVD 210, 92808 	MORTGAGE LENDING (3 EMPLOYEES) 
Active 	BUS2017-04082	SOLAR FORWARD ELECTRIC INC 	2204 EUCLID ST, 03959 	Electrical Contractor 
Active 	BUS2017-04083	PACIFIC WEST AIR CONDITIONING 	4051 E LA PALMA AVE A, 92807 	HVAC CONTRACTOR/ SERVICE AND INSTALLATION 
Active 	BUS2017-04084	NOFIXNOPAY 	2845 W BALL RD 18, 92804 	OFFICE USE FOR UNLICENSED SERVICE ELECTRICIAN (NO EMPLOYEES) 
Active 	BUS2017-04085	JESUS CUSTOM SHUTTERS 	2911 E MIRALOMA AVE 16, 92806 	FABRICATION AND WHOLESALE OF SHUTTERS 
Active 	BUS2017-04086	A ALVAREZ SERVICES 	1334 N MARINER WAY, 92801 	OFFICE USE ONLY FOR OFF-SITE CAREGIVING SERVICES (NO EMPLOYEES) 
Finaled 	BUS2017-04087	ROBERT R MCCLELLAN 	38 N LOTUS, 85772 	ARCHITECT [C3671, EXP. 11-30-17] 
Active 	BUS2017-04088	SIMON CARRILLO 	1241 N EAST ST 17, 92805 	HANDYMAN SERVICES 
Finaled 	BUS2017-04089	TOM NASROLLAHI & ASSOCIATES 	24800 EILAT ST, 83408 	MEP ENGINEER #M22301, EXP. 12-31-17 
Finaled 	BUS2017-04090	ROB ROGERS STRUCTUREAL ENGINEER 	4539 BEOK AVE, 87624 	STRUCTURAL ENGINEER LIC#4339 , EXP. 03-31-19 
Active 	BUS2017-04091	DENTISTS OF ANAHEIM HILLS 	8162 E SANTA ANA CANYON RD 104, 92808 	DENTIST OFFICE (4 EMPLOYEES) 
Currently Renewing 	BUS2017-04092	BHM EXPRESS 	3450 W BALL RD, 92804 	CONVENIENCE STORE  
Active 	BUS2017-04093	MOLINAR CONSTRUCTION 	5694 MISSION CENTER RD 181, 49951 	General Building Contractor 
Active 	BUS2017-04094	BOARDWALK TOWING 	1706 E WILLOW ST, 92805 	OFFICE USE ONLY FOR TOWING SERVICES (NO EMPLOYEES)  
Active 	BUS2017-04095	M G C SUSPENSION LLC 	6086 E CAMINO CORRER, 92807 	RETAIL OF AUTO PARTS AND ACCESSORIES 
Active 	BUS2017-04096	DIAMOND CUSTOM FINISHES 	21160 VIA MARIANO, 47792 	General Building Contractor 
Active 	BUS2017-04097	SEGWAY INC 	14 TECHNOLOGY DR, 38941 	SALES OF SECURITY EQUIPMENT 
Active 	BUS2017-04098	NORTH GLASS AND GLAZING SERVICE INC 	703 S GIFFORD AVE 222, 93385 	Glazing Contractor 
Active 	BUS2017-04099	KYLAN MECHANICAL INC 	9632 ANGELL ST, 37730 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2017-04100	DJG LAW GROUP INC 	8181 E KAISER BLVD 100, 92808 	LAW FIRM 
Active 	BUS2017-04101	STELLAR INSTALLATIONS INC 	880 S ROSE PL, 92805 	SIGN INSTALLATION 
Active 	BUS2017-04102	GRANITE CREEK POOLS & SPAS INC 	31640 SWEETWATER CIR, 96994 	Swimming Pool Contractor 
Active 	BUS2017-04103	JUAN MANUEL JR 	372 E 20TH ST B, 47540 	Plumbing Contractor 
Active 	BUS2017-04104	COMMERCIAL PROTECTIVE SERVICES INC 	3400 AIRPORT WAY, 05496 	SECURITY GUARDS LIC# 13630, EXP. 8-31-18 
Active 	BUS2017-04105	KASHOU CLIMATE CONTROL INC 	1240 E ONTARIO AVE 102-179, 97346 	HEATING AND AIR CONDITIONING CONTRACTOR 
Active 	BUS2017-04106	BEST OF TRADES CORP 	18543 DEVONSHIRE ST, 84448 	General Engineering Contractor 
Active 	BUS2017-04107	RISE MORTGAGE & REAL ESTATE 	1475 S STATE COLLEGE BLVD 100, 92805 	MORTGAGE AND REAL ESTATE OFFICE (3 EMPLOYEES)  
Active 	BUS2017-04108	ICARE DIGITAL REPAIR 	1220 S MAGNOLIA AVE G, 92804 	ELECTRONIC REPAIR WITH SALES OF ACCESSORIES (NO EMPLOYEES) 
Active 	BUS2017-04109	APOLLO PAINTING & WALLCOVERING 	535 N EUCALYPTUS AVE, 37501 	General Building Contractor 
Active 	BUS2017-04110	ACCULECTRIC 	20940 JAMISON AVE, 35495 	Electrical Contractor 
Active 	BUS2017-04111	WEST JIN ENTRANCE SYSTEM INC 	2521 W LA PALMA AVE U, 92801 	OFFICE USE FOR INSTALLATION OF AUTOMATIC GLASS DOORS 
Active 	BUS2017-04112	PHOENIX CONTRACTING GROUP 	1533 W ORANGEWOOD AVE, 45498 	General Engineering Contractor 
Active 	BUS2017-04113	A S CLEANERS 	2054 S EUCLID ST H, 92802 	CLEANERS (NO EMPLOYEES)  
Active 	BUS2017-04114	CITY NAILS SPA 	2801 W BALL RD 14, 92804 	NAIL SALON (OPERATOR) (1 EMPLOYEE) 
Active 	BUS2017-04115	OK BEAUTY SALON 	879 S EUCLID ST, 92804 	BEAUTY SALON (OPERATOR) (1 EMPLOYEE) 
Active 	BUS2017-04116	ACT EQUITIES INC 	420 N VINE ST, 92805 	APARTMENT BUILDING OPERATOR (9 UNITS) (BUS2017-04130) 
Finaled 	BUS2017-04117	GREEN RABBIT WORLD 	915 E KATELLA AVE 2067, 92805 	OFFICE USE ONLY FOR ONLINE SALES 
Active 	BUS2017-04118	ROCKLIKE CONSTRUCTION CO INC 	1566 SPRUCE TREE DR, 43960 	General Building Contractor 
Active 	BUS2017-04119	G & S PLUMBING COMPANY INC 	248 EAST ST, 47367 	Plumbing Contractor 
Active 	BUS2017-04120	ACT EQUITIES INC 	325 E LEATRICE LN, 92802 	APARTMENT BUILDING OPERATOR (8 UNITS) 
Active 	BUS2017-04121	JP CREATIONS 	1540 COMMERCE ST E, 97346 	Cabinet, Millwork and Finish Carpentry 
Active 	BUS2017-04122	MIRACLE TERRACE COMMUNITY PARTNERS, 	225 S WESTERN AVE, 92804 	APARTMENT BUILDING OPERATOR (179 UNITS) (BUS2017-04123)  
Active 	BUS2017-04123	MIRACLE TERRACE COMMUNITY PARTNERS, 	225 S WESTERN AVE, 92804 	COIN LAUNDRY OPERATOR (12 MACHINES) (BUS2017-04122)  
Active 	BUS2017-04124	CALIFORNIA ZION CHURCH 	1250 N RED GUM ST, 92806 	CHURCH 
Active 	BUS2017-04125	E S R QUALITY PAINTING 	1831 FARMSTEAD AVE, 83337 	Painting and Decorating Contractor 
Active 	BUS2017-04126	MADERA APARTMENTS 	2960-2965 E JACKSON AVE, 92806 	APARTMENT BUILDING OPERATOR (193 UNITS) (BUS2017-04135) 
Active 	BUS2017-04127	COLE B WILLIAMS 	3610 CENTRAL AV. SUITE 400 AVE, 93590 	Electrical Contractor 
Active 	BUS2017-04128	ERRATICS LLC 	421 N ROSE ST, 92805 	APARTMENT BUILDING OPERATOR (8 UNITS) 
